FID,pointid,grid_code,xx,yy,Num,,,
0,22387859,-2.8215899,-89.12488418,38.13938057,1,,min,-1.20044
1,6727075,-2.27249,-89.14406856,38.22860053,1,,max,-4.9920001
2,6727076,-2.0566399,-89.14404556,38.22859925,1,,mean,-1.678185659
3,6726241,-2.7911401,-89.14408991,38.22861962,1,,,
4,6726243,-2.9999399,-89.1440439,38.22861704,1,,,
5,6725346,-2.8689301,-89.14408824,38.22863741,1,,,
6,6725349,-2.59604,-89.14401923,38.22863355,1,,,
7,6724501,-2.2757599,-89.14408658,38.22865521,1,,,
8,6724502,-2.8225999,-89.14406358,38.22865392,1,,,
9,6411925,-2.2014201,-89.09530521,38.23318179,1,,,
10,6411234,-2.1837201,-89.09530353,38.23319959,1,,,
11,6410590,-2.29071,-89.09530186,38.23321739,1,,,
12,6409195,-2.7005899,-89.09529851,38.23325298,1,,,
13,6408494,-2.5978401,-89.09529684,38.23327078,1,,,
14,6407802,-2.84021,-89.09529516,38.23328857,1,,,
15,6407122,-2.0266099,-89.09527048,38.23330507,1,,,
16,6406440,-2.0266099,-89.09526881,38.23332287,1,,,
17,6405761,-2.0859101,-89.09526713,38.23334067,1,,,
18,6402928,-2.03705,-89.09528177,38.23343094,1,,,
19,6402397,-2.4047899,-89.09528009,38.23344874,1,,,
20,6401883,-2.11905,-89.09527842,38.23346654,1,,,
21,6401364,-2.11905,-89.09527674,38.23348433,1,,,
22,6400841,-2.6506,-89.09529808,38.23350342,1,,,
23,6400842,-2.40573,-89.09527507,38.23350213,1,,,
24,6400313,-2.9870601,-89.0952734,38.23351993,1,,,
25,6399278,-2.2495401,-89.09527005,38.23355552,1,,,
26,6399279,-2.1329,-89.09524704,38.23355422,1,,,
27,6398807,-2.0474899,-89.09524537,38.23357202,1,,,
28,6398808,-2.1212499,-89.09522236,38.23357072,1,,,
29,6397840,-2.97858,-89.09521901,38.23360632,1,,,
30,6396215,-2.09375,-89.09521399,38.23365971,1,,,
31,6395692,-2.1518199,-89.09521231,38.2336775,1,,,
32,6395157,-2.0220001,-89.09521064,38.2336953,1,,,
33,6394658,-2.0459599,-89.09520896,38.2337131,1,,,
34,6393603,-2.0060401,-89.09520562,38.23374869,1,,,
35,6393049,-2.0060401,-89.09520394,38.23376649,1,,,
36,6392008,-2.2374001,-89.09517759,38.23380078,1,,,
37,6392009,-2.2374001,-89.09515458,38.23379949,1,,,
38,6391520,-2.3001699,-89.09517591,38.23381858,1,,,
39,6391521,-2.3001699,-89.09515291,38.23381728,1,,,
40,6389182,-2.3936801,-89.09509852,38.23390368,1,,,
41,6388757,-2.3936801,-89.09509685,38.23392147,1,,,
42,6388295,-2.22861,-89.09507217,38.23393797,1,,,
43,6386373,-2.22702,-89.09350108,38.23392107,1,,,
44,6386374,-2.22702,-89.09347807,38.23391977,1,,,
45,6385853,-2.28619,-89.09352241,38.23394016,1,,,
46,19806769,-2.0783401,-88.78402618,38.12796439,1,,,
47,19806770,-2.0783401,-88.78400321,38.12796303,1,,,
48,15204914,-2.0094299,-88.82223687,38.14636925,1,,,
49,15204915,-2.0094299,-88.8222139,38.14636791,1,,,
50,15200835,-2.0094299,-88.82223513,38.14638704,1,,,
51,15200836,-2.0094299,-88.82221216,38.1463857,1,,,
52,13371300,-2.2311399,-88.82093509,38.15448871,1,,,
53,13366924,-2.2876899,-88.82093335,38.1545065,1,,,
54,13362524,-2.4498601,-88.82093161,38.1545243,1,,,
55,12098307,-2.3534501,-88.74940778,38.15596608,1,,,
56,12094270,-2.3534501,-88.74940602,38.15598387,1,,,
57,12082228,-2.22382,-88.74930885,38.15603181,1,,,
58,12082229,-2.22382,-88.74928588,38.15603045,1,,,
59,12078221,-2.1449599,-88.74926115,38.15604688,1,,,
60,12066431,-2.1461501,-88.749141,38.15609345,1,,,
61,12062550,-2.2047701,-88.74904735,38.1561058,1,,,
62,12058736,-2.2047701,-88.74904559,38.1561236,1,,,
63,6189647,-2.0004599,-88.73450552,38.21830903,1,,,
64,6189648,-2.02789,-88.73448253,38.21830767,1,,,
65,6188077,-2.1631501,-88.734479,38.21834325,1,,,
66,6177439,-2.2948,-88.73438712,38.21857045,1,,,
67,6176627,-2.6558499,-88.73438536,38.21858824,1,,,
68,6175833,-2.4339001,-88.7343836,38.21860603,1,,,
69,6175834,-2.34161,-88.7343606,38.21860467,1,,,
