species,dd long,dd lat
gully_high_revised_2,-88.74935656,38.15601674
gully_high_revised_2,-88.81299889,38.24433787
gully_high_revised_2,-88.7886407,38.1266078
gully_high_revised_2,-88.94176704,38.29291582
gully_high_revised_2,-88.82210362,38.14702355
gully_high_revised_2,-89.10360137,38.12718121
gully_high_revised_2,-88.80840141,38.23766204
gully_high_revised_2,-88.75040991,38.22073595
gully_high_revised_2,-88.75040815,38.22075375
gully_high_revised_2,-88.85708927,38.27030123
gully_high_revised_2,-88.75849535,38.14207987
gully_high_revised_2,-88.75847238,38.14207851
gully_high_revised_2,-88.72786622,38.29137779
gully_high_revised_2,-89.11766774,38.42924621
gully_high_revised_2,-89.13794578,38.18179731
gully_high_revised_2,-88.71960433,38.22093256
gully_high_revised_2,-89.0925408,38.24805433
gully_high_revised_2,-89.06009759,38.26016019
gully_high_revised_2,-89.11789304,38.42956295
gully_high_revised_2,-89.11786997,38.42956166
gully_high_revised_2,-88.80777033,38.23678397
gully_high_revised_2,-89.12561745,38.14833116
gully_high_revised_2,-89.06073155,38.1668755
gully_high_revised_2,-89.08731007,38.2358086
gully_high_revised_2,-89.1255862,38.26322113
gully_high_revised_2,-88.70701748,38.26705443
gully_high_revised_2,-88.70701571,38.26707222
gully_high_revised_2,-88.96737149,38.40222289
gully_high_revised_2,-88.74383526,38.18149543
gully_high_revised_2,-89.11748859,38.42893205
gully_high_revised_2,-89.11748691,38.42894985
gully_high_revised_2,-89.09912135,38.14562472
gully_high_revised_2,-89.09909837,38.14562343
gully_high_revised_2,-88.82210189,38.14704134
gully_high_revised_2,-89.09056775,38.26654957
gully_high_revised_2,-88.78854359,38.12665577
gully_high_revised_2,-89.14223619,38.21974983
gully_high_revised_2,-89.02523347,38.2294668
gully_high_revised_2,-88.94177046,38.29288023
gully_high_revised_2,-88.89244577,38.25603582
gully_high_revised_2,-88.7503093,38.41537889
gully_high_revised_2,-88.75028625,38.41537753
gully_high_revised_2,-89.10683406,38.12521633
gully_high_revised_2,-88.83549048,38.47457448
gully_high_revised_2,-89.12761616,38.23710777
gully_high_revised_2,-88.91525427,38.27549899
gully_high_revised_2,-89.14411125,38.2286387
gully_high_revised_2,-89.10753275,38.23596282
gully_high_revised_2,-88.77154128,38.17762132
gully_high_revised_2,-88.90771415,38.39008083
gully_high_revised_2,-89.12495789,38.20820905
gully_high_revised_2,-89.0757414,38.29811413
gully_high_revised_2,-88.73720196,38.19269889
gully_high_revised_2,-88.73717897,38.19269753
gully_high_revised_2,-88.70705111,38.26694906
gully_high_revised_2,-89.13473633,38.22305129
gully_high_revised_2,-89.13473466,38.22306909
gully_high_revised_2,-89.10040333,38.20847549
gully_high_revised_2,-89.13489038,38.22066263
gully_high_revised_2,-89.13488871,38.22068043
gully_high_revised_2,-88.76255163,38.13913426
gully_high_revised_2,-89.09354542,38.23394145
gully_high_revised_2,-88.76233474,38.14415009
gully_high_revised_2,-89.11000536,38.32170754
gully_high_revised_2,-88.82772222,38.14035593
gully_high_revised_2,-88.96742102,38.40218993
gully_high_revised_2,-88.86615008,38.28802442
gully_high_revised_2,-88.88895795,38.33139791
gully_high_revised_2,-88.73108992,38.44940876
gully_high_revised_2,-88.73636706,38.3693873
gully_high_revised_2,-89.03936433,38.26628523
gully_high_revised_2,-89.12531866,38.27150721
gully_high_revised_2,-89.09354207,38.23397705
gully_high_revised_2,-89.09354039,38.23399484
gully_high_revised_2,-89.14583177,38.26914837
gully_high_revised_2,-88.77545054,38.18017828
gully_high_revised_2,-88.77544879,38.18019607
gully_high_revised_2,-88.77647241,38.19281889
gully_high_revised_2,-89.12528533,38.26322216
gully_high_revised_2,-88.72338497,38.29104055
gully_high_revised_2,-88.7233832,38.29105834
gully_high_revised_2,-88.75153647,38.26436026
gully_high_revised_2,-88.78857005,38.12662153
gully_high_revised_2,-88.78856831,38.12663933
gully_high_revised_2,-88.74952792,38.15591951
gully_high_revised_2,-89.08782362,38.18370363
gully_high_revised_2,-89.11810829,38.42998648
gully_high_revised_2,-88.77681226,38.46335876
gully_high_revised_2,-89.08774004,38.18360946
gully_high_revised_2,-89.04042834,38.32164786
gully_high_revised_2,-89.02518578,38.22948198
gully_high_revised_2,-88.9648242,38.20339955
gully_high_revised_2,-89.09525126,38.23301774
gully_high_revised_2,-89.09522826,38.23301644
gully_high_revised_2,-89.12676972,38.26713384
gully_high_revised_2,-88.73664791,38.40721729
gully_high_revised_2,-88.7420139,38.28013588
gully_high_revised_2,-89.049456,38.25037948
gully_high_revised_2,-89.10713569,38.16385931
gully_high_revised_2,-88.75437943,38.24448531
gully_high_revised_2,-88.75435643,38.24448395
gully_high_revised_2,-88.98946368,38.26593086
gully_high_revised_2,-88.98944067,38.26592954
